epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
144,299.961,0.27987,0.3116,0.92326,0.99805,1,0.995,0.995,0.14352,0.14909,0.85018,0.00010675,0.00010675,0.00010675
145,301.95,0.2798,0.30404,0.91935,0.99807,1,0.995,0.995,0.15666,0.1379,0.85414,0.000104,0.000104,0.000104
146,303.621,0.28191,0.2945,0.92741,0.99808,1,0.995,0.99041,0.16614,0.14782,0.85825,0.00010125,0.00010125,0.00010125
147,305.281,0.24946,0.27648,0.91032,0.99809,1,0.995,0.99032,0.15995,0.14238,0.85649,9.85e-05,9.85e-05,9.85e-05
148,307.091,0.28049,0.29863,0.91466,0.99806,1,0.995,0.99049,0.15687,0.13484,0.8543,9.575e-05,9.575e-05,9.575e-05
149,308.847,0.26124,0.3085,0.91769,0.99804,1,0.995,0.99158,0.15646,0.13374,0.85389,9.3e-05,9.3e-05,9.3e-05
150,310.654,0.25855,0.30047,0.91705,0.99806,1,0.995,0.995,0.15338,0.12951,0.8537,9.025e-05,9.025e-05,9.025e-05
151,312.397,0.25064,0.27855,0.9034,0.99804,1,0.995,0.9833,0.15385,0.12871,0.85384,8.75e-05,8.75e-05,8.75e-05
152,314.294,0.29275,0.32295,0.92624,0.99805,1,0.995,0.995,0.15519,0.12845,0.85395,8.475e-05,8.475e-05,8.475e-05
153,315.974,0.26357,0.28756,0.91715,0.99804,1,0.995,0.995,0.14884,0.13318,0.85165,8.2e-05,8.2e-05,8.2e-05
154,317.941,0.26432,0.29617,0.91113,0.99802,1,0.995,0.995,0.14431,0.13618,0.84989,7.925e-05,7.925e-05,7.925e-05
155,319.807,0.25826,0.29509,0.92116,0.99802,1,0.995,0.995,0.14678,0.13716,0.84994,7.65e-05,7.65e-05,7.65e-05
156,321.564,0.26534,0.28522,0.93741,0.99806,1,0.995,0.995,0.15095,0.14263,0.85283,7.375e-05,7.375e-05,7.375e-05
157,325.152,0.26078,0.28088,0.93511,0.99806,1,0.995,0.99092,0.15478,0.14133,0.85418,7.1e-05,7.1e-05,7.1e-05
158,327.329,0.2621,0.29468,0.92686,0.99807,1,0.995,0.995,0.15524,0.12848,0.85493,6.825e-05,6.825e-05,6.825e-05
159,329.112,0.25158,0.27723,0.91675,0.99807,1,0.995,0.995,0.155,0.12797,0.85537,6.55e-05,6.55e-05,6.55e-05
160,330.877,0.24956,0.29467,0.9121,0.99804,1,0.995,0.995,0.14897,0.13781,0.85188,6.275e-05,6.275e-05,6.275e-05
161,332.684,0.26816,0.28526,0.93161,0.99805,1,0.995,0.995,0.14611,0.14518,0.85004,6e-05,6e-05,6e-05
